date,STATE,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,POPESTIMATE2019,lat,long
6/22/2021,South Dakota,809311,954505,442228,44.7,91.48,395412,49.99,107.9,3474,1370,1549,0.848,884659,44.367031,-100.346405
6/22/2021,Tennessee,5168874,7259850,2799356,34.57,75.69,2361149,40.99,106.31,5223,13903,2036,0.712,6829174,36.16581,-86.784241
6/22/2021,Texas,25095675,31485795,13733578,39.86,86.55,11558001,47.36,108.59,46064,104012,3587,0.797,28995881,30.27467,-97.740349
6/22/2021,Utah,2796552,3203790,1536281,36.49,87.23,1169726,47.92,99.93,37387,8602,2683,0.873,3205958,40.777477,-111.888237
6/22/2021,Vermont,840948,912630,457072,64.45,134.77,402130,73.25,146.26,1015,2136,3423,0.921,623989,44.262436,-72.580536
6/22/2021,Virginia,9057681,10234965,4974473,50.46,106.12,4307288,58.28,119.91,17251,29771,3488,0.885,8535519,37.538857,-77.43364
6/22/2021,Washington,8360146,9315915,4582086,52.93,109.79,4030746,60.17,122.34,331,29187,3833,0.897,7614893,47.035805,-122.905014
6/22/2021,West Virginia,1393244,1878315,767607,36.55,77.74,655022,42.83,104.81,1382,3380,1886,0.742,1792147,38.336246,-81.612328
6/22/2021,Wisconsin,5789766,6072885,3088567,47.99,99.44,2794260,53.05,104.3,3838,13599,2336,0.953,5822434,43.074684,-89.384445
6/22/2021,Wyoming,414810,513015,224025,33.74,71.67,195259,38.71,88.64,1641,671,1159,0.809,578759,41.140259,-104.820236
